,time,BTCBalance
204,2022-08-16 16:19:02.081,6222.094341280003
205,2022-08-16 16:19:02.808,6216.544884400003
206,2022-08-16 16:19:03.039,6081.544884400003
207,2022-08-16 16:19:03.041,5952.094345600003
208,2022-08-16 16:19:23.436,5682.094349380003
209,2022-08-16 16:19:23.436,5682.094345600003
210,2022-08-16 16:22:34.603,5664.3105914800035
211,2022-08-16 16:22:34.605,5658.1005914800035
212,2022-08-16 16:22:34.633,5654.590591480003
213,2022-08-16 16:22:34.634,5623.061671960003
214,2022-08-16 16:22:34.661,5616.851671960003
215,2022-08-16 16:22:34.672,5607.941671960003
216,2022-08-16 16:22:34.677,5602.7245931800035
217,2022-08-16 16:22:34.680,5593.814593180004
218,2022-08-16 16:22:34.702,5584.904593180004
219,2022-08-16 16:28:52.089,5854.904593180004
220,2022-08-16 16:31:31.935,5780.318213680004
221,2022-08-16 16:31:31.936,5584.904593180004
222,2022-08-16 16:31:59.253,5763.1311482200035
223,2022-08-16 16:31:59.264,5848.458724420004
224,2022-08-16 16:31:59.265,5854.904593180004
225,2022-08-16 16:37:52.140,5935.2019333000035
226,2022-08-16 16:37:52.141,6012.224763100004
227,2022-08-16 16:37:52.146,6031.957166620004
228,2022-08-16 16:37:52.152,6044.485166620004
229,2022-08-16 16:37:52.152,6124.904593180004
230,2022-08-16 16:38:01.812,6300.761263720004
231,2022-08-16 16:41:39.059,6191.7646256800035
232,2022-08-16 16:41:39.061,6030.761263720004
233,2022-08-16 16:41:40.422,6028.5647899600035
234,2022-08-16 16:44:01.109,5758.5647899600035
235,2022-08-16 16:44:02.816,5488.5647899600035
236,2022-08-16 16:45:08.105,5758.5647899600035
237,2022-08-16 16:45:27.055,5691.812965360004
238,2022-08-16 16:45:27.056,5488.5647899600035
239,2022-08-16 16:46:05.442,5644.6585399600035
240,2022-08-16 16:46:05.449,5737.207368220003
241,2022-08-16 16:46:05.452,5758.5647899600035
242,2022-08-16 16:46:59.710,5830.791744760004
243,2022-08-16 16:46:59.711,6028.5647899600035
244,2022-08-16 16:47:04.632,6015.287604220003
245,2022-08-16 16:47:04.633,5891.400939760003
246,2022-08-16 16:47:05.458,5881.917161680003
247,2022-08-16 16:48:02.918,5949.1348637200035
248,2022-08-16 16:48:02.918,5977.979125720003
249,2022-08-16 16:52:17.333,5899.700454640003
250,2022-08-16 16:52:17.334,5802.857632240003
251,2022-08-16 16:52:17.334,5735.451824440003
252,2022-08-16 16:52:17.334,5707.979125720003
253,2022-08-16 16:52:34.289,5977.979125720003
254,2022-08-16 16:52:59.369,5911.147063600003
255,2022-08-16 16:54:07.899,5713.139061160003
256,2022-08-16 16:54:07.901,5641.147063600003
257,2022-08-16 16:58:48.895,5911.147063600003
258,2022-08-16 16:59:59.200,6181.147063600003
259,2022-08-16 17:00:41.489,6181.552063600003
260,2022-08-16 17:01:41.100,6451.552063600003
261,2022-08-16 17:02:45.504,6325.4687007400025
262,2022-08-16 17:02:45.537,6276.8633871400025
263,2022-08-16 17:02:45.538,6249.8633871400025
264,2022-08-16 17:02:45.564,6249.530034340002
265,2022-08-16 17:02:45.568,6181.552063600002
266,2022-08-16 17:03:15.045,6196.782342940002
267,2022-08-16 17:08:26.756,6466.782342940002
268,2022-08-16 17:18:21.149,6544.061046880002
269,2022-08-16 17:18:21.155,6641.137690360002
270,2022-08-16 17:24:12.209,6666.137690360002
271,2022-08-16 17:24:12.228,6905.137690360002
272,2022-08-16 17:24:12.241,6920.137690360002
273,2022-08-16 17:24:12.254,7020.137690360002
274,2022-08-16 17:24:12.263,7268.137690360002
275,2022-08-16 17:24:12.270,7281.137690360002
276,2022-08-16 17:24:12.271,7294.137690360002
277,2022-08-16 17:24:12.271,7404.137690360002
278,2022-08-16 17:24:12.277,7484.137690360002
279,2022-08-16 17:24:12.277,7698.137690360002
280,2022-08-16 17:24:12.277,7746.137690360002
281,2022-08-16 17:24:12.278,7774.137690360002
282,2022-08-16 17:24:12.278,7776.137690360002
283,2022-08-16 17:24:12.280,7874.137690360002
284,2022-08-16 17:24:12.968,7874.5155553600025
285,2022-08-16 17:24:12.969,7874.893420360003
286,2022-08-16 17:24:12.979,8144.137690360003
287,2022-08-16 17:24:13.160,8150.137690360003
288,2022-08-16 17:24:13.180,8156.137690360003
289,2022-08-16 17:24:13.203,8162.137690360003
290,2022-08-16 17:24:13.214,8232.137690360003
291,2022-08-16 17:24:13.215,8252.137690360003
292,2022-08-16 17:24:13.216,8257.137690360003
293,2022-08-16 17:24:13.216,8263.137690360003
294,2022-08-16 17:24:13.235,8269.137690360003
295,2022-08-16 17:24:13.240,8337.137690360003
296,2022-08-16 17:24:13.252,8343.137690360003
297,2022-08-16 17:24:13.277,8349.137690360003
298,2022-08-16 17:24:13.293,8355.137690360003
299,2022-08-16 17:24:13.312,8361.137690360003
300,2022-08-16 17:24:13.331,8367.137690360003
301,2022-08-16 17:24:13.354,8373.137690360003
302,2022-08-16 17:24:13.367,8379.137690360003
303,2022-08-16 17:24:13.384,8385.137690360003
304,2022-08-16 17:24:54.379,10282.137690360003
305,2022-08-16 17:24:54.380,10307.137690360003
306,2022-08-16 17:24:54.380,10428.137690360003
307,2022-08-16 17:24:54.380,10449.137690360003
308,2022-08-16 17:24:54.380,10470.137690360003
309,2022-08-16 17:24:54.380,10530.137690360003
310,2022-08-16 17:24:54.380,10888.137690360003
311,2022-08-16 17:24:54.381,11016.137690360003
312,2022-08-16 17:24:54.381,11205.137690360003
313,2022-08-16 17:24:54.381,11225.137690360003
314,2022-08-16 17:24:54.381,11284.137690360003
315,2022-08-16 17:24:54.381,11402.137690360003
316,2022-08-16 17:24:54.381,11728.137690360003
317,2022-08-16 17:24:54.382,11951.137690360003
318,2022-08-16 17:24:54.382,12534.137690360003
319,2022-08-16 17:24:54.382,12929.137690360003
320,2022-08-16 17:24:54.382,13037.137690360003
321,2022-08-16 17:24:54.382,13811.137690360003
322,2022-08-16 17:24:54.382,13852.137690360003
323,2022-08-16 17:24:54.382,13968.137690360003
324,2022-08-16 17:24:54.383,13988.137690360003
325,2022-08-16 17:24:54.383,14089.137690360003
326,2022-08-16 17:24:54.383,14135.137690360003
327,2022-08-16 17:24:54.383,14201.137690360003
328,2022-08-16 17:24:54.383,14239.137690360003
329,2022-08-16 17:24:54.383,14241.137690360003
330,2022-08-16 17:24:54.384,14261.137690360003
331,2022-08-16 17:24:57.774,14259.747616960003
332,2022-08-16 17:24:57.868,14221.728343480003
333,2022-08-16 17:24:57.874,13991.137690360003
334,2022-08-16 17:25:12.196,13794.908893420003
335,2022-08-16 17:25:12.197,13773.572579740003
336,2022-08-16 17:25:12.213,13721.137690360003
337,2022-08-16 17:25:13.090,13652.692983580004
338,2022-08-16 17:25:13.099,13521.629567920003
339,2022-08-16 17:25:13.110,13451.137690360003
340,2022-08-16 17:25:13.515,13181.137690360003
341,2022-08-16 17:25:14.305,13169.040868480002
342,2022-08-16 17:25:22.923,13155.334244500002
343,2022-08-16 17:25:23.064,12899.040868480002
344,2022-08-16 17:25:47.099,12716.478929380002
345,2022-08-16 17:25:47.100,12651.002015620003
346,2022-08-16 17:25:47.100,12629.040868480002
347,2022-08-16 17:25:47.395,12462.525315040002
348,2022-08-16 17:25:47.399,12359.040868480002
349,2022-08-16 17:26:06.992,12352.659483280002
350,2022-08-16 17:26:07.442,12237.706953580002
351,2022-08-16 17:26:07.443,12089.040868480002
352,2022-08-16 17:26:28.764,11819.040868480002
353,2022-08-16 17:26:29.846,11652.502613440001
354,2022-08-16 17:26:29.891,11651.096862760001
355,2022-08-16 17:26:29.898,11618.915307880001
356,2022-08-16 17:26:29.900,11586.733753
357,2022-08-16 17:26:29.901,11549.04086848
358,2022-08-16 17:26:39.043,11421.979699540001
359,2022-08-16 17:26:39.044,11279.04086848
360,2022-08-16 17:26:39.482,11264.90762344
361,2022-08-16 17:26:54.443,11213.97755584
362,2022-08-16 17:26:54.444,11182.887838839999
363,2022-08-16 17:26:54.444,11074.887838839999
364,2022-08-16 17:26:54.445,10994.907623439998
365,2022-08-16 17:27:07.059,10955.721023439997
366,2022-08-16 17:27:07.059,10827.411523439998
367,2022-08-16 17:27:07.466,10698.216842039998
368,2022-08-16 17:27:07.467,10683.308125679998
369,2022-08-16 17:27:07.468,10557.411523439998
370,2022-08-16 17:27:16.083,10551.713915399998
371,2022-08-16 17:31:09.466,10393.859159519998
372,2022-08-16 17:31:09.466,10281.713915399998
373,2022-08-16 17:36:06.188,10281.697450799998
374,2022-08-16 17:36:06.197,10011.713915399998
375,2022-08-16 17:37:58.016,9988.750387859998
376,2022-08-16 17:37:58.038,9741.713915399998
377,2022-08-16 17:38:12.301,9471.713915399998
378,2022-08-16 17:40:07.547,9409.135423559997
379,2022-08-16 17:40:07.550,9201.713915399998
380,2022-08-16 17:40:39.750,9471.713915399998
381,2022-08-16 17:55:16.459,9482.618089499998
382,2022-08-16 17:55:16.470,9518.368697699998
383,2022-08-16 17:55:16.471,9643.360514819999
384,2022-08-16 17:55:16.473,9741.713915399998
385,2022-08-16 17:56:49.041,9694.637176019998
386,2022-08-16 17:56:49.044,9518.708089859998
387,2022-08-16 17:56:49.045,9471.713915399998
388,2022-08-16 18:02:38.925,9444.713915399998
389,2022-08-16 18:02:39.025,9417.713915399998
390,2022-08-16 18:02:39.026,9367.518112799999
391,2022-08-16 18:02:39.026,9286.518112799999
392,2022-08-16 18:02:39.026,9201.713915399998
393,2022-08-16 18:05:52.188,8931.713915399998
394,2022-08-16 18:06:20.017,8975.449019759997
395,2022-08-16 18:06:20.207,9071.573804159998
396,2022-08-16 18:06:20.227,9201.713915399998
397,2022-08-16 18:09:21.869,8931.713915399998
398,2022-08-16 18:09:29.295,8886.624984599997
399,2022-08-16 18:09:29.390,8785.939685819998
400,2022-08-16 18:09:29.400,8661.713915399998
401,2022-08-16 18:10:31.490,8735.139767399998
402,2022-08-16 18:10:31.493,8767.705315199999
403,2022-08-16 18:15:18.935,8497.705315199999
404,2022-08-16 18:17:06.273,8497.720269419999
405,2022-08-16 18:18:18.135,8500.63047522
406,2022-08-16 18:18:18.135,8608.63047522
407,2022-08-16 18:18:18.136,8635.63047522
408,2022-08-16 18:18:18.136,8767.720269419999
409,2022-08-16 18:19:42.153,8732.23645902
410,2022-08-16 18:19:42.154,8610.32689602
411,2022-08-16 18:19:42.155,8497.72026942
412,2022-08-16 18:29:24.240,8503.70769492
413,2022-08-16 18:29:24.260,8572.38524592
414,2022-08-16 18:29:24.374,8767.72026942
415,2022-08-16 18:29:24.712,8778.75792342
416,2022-08-16 18:29:24.722,8844.98386362
417,2022-08-16 18:29:24.726,8900.17214982
418,2022-08-16 18:29:24.800,8966.39809002
419,2022-08-16 18:29:24.801,9037.72026942
420,2022-08-16 18:29:29.569,8923.63291962
421,2022-08-16 18:29:29.576,8881.12766526
422,2022-08-16 18:29:29.580,8805.69511926
423,2022-08-16 18:29:29.584,8767.72026942
424,2022-08-16 18:30:25.929,8817.819778140001
425,2022-08-16 18:30:26.176,9037.72026942
426,2022-08-16 18:30:26.579,9058.02174222
427,2022-08-16 18:34:58.180,9328.02174222
428,2022-08-16 18:35:03.265,9418.7515146
429,2022-08-16 18:35:03.273,9598.02174222
430,2022-08-16 18:35:32.513,9572.70924222
431,2022-08-16 18:35:32.514,9565.06273422
432,2022-08-16 18:35:50.006,9835.06273422
433,2022-08-16 18:35:50.368,9857.06273422
434,2022-08-16 18:35:50.411,9970.06273422
435,2022-08-16 18:35:50.597,9983.06273422
436,2022-08-16 18:35:50.598,10042.06273422
437,2022-08-16 18:35:50.641,10085.06273422
438,2022-08-16 18:35:55.173,10073.58568222
439,2022-08-16 18:36:13.977,10343.58568222
440,2022-08-16 18:36:40.730,10338.85170094
441,2022-08-16 18:36:57.419,10322.73607594
442,2022-08-16 18:36:57.458,10314.76969192
443,2022-08-16 18:37:23.380,10584.76969192
444,2022-08-16 18:37:23.704,10775.705247400001
445,2022-08-16 18:37:23.874,10854.7696876
446,2022-08-16 18:37:23.958,10854.76969192
447,2022-08-16 18:37:24.599,11124.769691380001
448,2022-08-16 18:37:24.600,11124.76969192
449,2022-08-16 18:37:37.760,11069.280326560001
450,2022-08-16 18:37:37.761,10929.411456520002
451,2022-08-16 18:37:37.763,10854.76969192
452,2022-08-16 18:38:28.082,10697.359841500001
453,2022-08-16 18:38:28.082,10584.76969192
454,2022-08-16 18:39:46.435,10510.85530192
455,2022-08-16 18:39:46.436,10500.11475592
456,2022-08-16 18:39:46.437,10446.11475592
457,2022-08-16 18:39:46.438,10314.76969192
458,2022-08-16 18:39:46.512,10044.76969192
459,2022-08-16 18:41:33.753,9774.76969192
460,2022-08-16 18:41:33.883,9652.84460392
461,2022-08-16 18:41:38.704,9922.84460392
462,2022-08-16 18:41:39.116,10192.84460392
463,2022-08-16 18:41:45.491,10192.46940392
464,2022-08-16 18:41:45.548,10197.66879392
465,2022-08-16 18:41:45.558,10217.90167592
466,2022-08-16 18:41:45.560,10277.76040592
467,2022-08-16 18:41:50.437,10276.490323418915
468,2022-08-16 18:41:55.113,10249.166323418915
469,2022-08-16 18:41:55.123,10135.906814678914
470,2022-08-16 18:41:55.129,10006.490323418913
471,2022-08-16 18:42:07.917,9736.490323418913
472,2022-08-16 18:42:22.902,9722.130751418914
473,2022-08-16 18:42:22.902,9704.184499418914
474,2022-08-16 18:42:22.902,9696.769219418915
475,2022-08-16 18:42:24.209,9670.251804458914
476,2022-08-16 18:42:24.212,9661.827804458913
477,2022-08-16 18:42:25.144,9601.764171458914
478,2022-08-16 18:42:25.151,9581.378025578913
479,2022-08-16 18:42:25.152,9492.619861238913
480,2022-08-16 18:42:25.161,9426.769219418913
481,2022-08-16 18:43:52.916,9233.267617418913
482,2022-08-16 18:43:52.916,9156.769219418913
483,2022-08-16 18:43:54.776,9155.442085178913
484,2022-08-16 18:44:21.485,9425.442085178913
485,2022-08-16 18:44:22.301,9695.442085178913
486,2022-08-16 18:44:55.939,9751.883030438912
487,2022-08-16 18:46:06.710,10021.883030438912
488,2022-08-16 18:46:15.146,9751.883030438912
489,2022-08-16 18:46:17.073,9481.883030438912
