,time,ETHBalance,FILBalance
0,2022-08-16 14:59:44.009,0.5341632757003943,-114.99999632000001
1,2022-08-16 15:00:21.342,1.0677143469549957,-229.99999632
2,2022-08-16 15:01:08.523,1.1074996663217456,-238.53602634
3,2022-08-16 15:01:08.524,1.603714304365671,-344.99999632000004
4,2022-08-16 15:01:16.920,1.0681429020323088,-229.99999632000004
5,2022-08-16 15:01:51.698,1.504027650192636,-323.09471950000005
6,2022-08-16 15:01:59.549,1.396668481110356,-300.09471950000005
7,2022-08-16 15:02:22.206,1.9338928815990681,-415.09471950000005
8,2022-08-16 15:02:28.560,1.9699451152900453,-422.78588316
9,2022-08-16 15:02:28.572,2.0143637470547606,-432.26188316
10,2022-08-16 15:02:28.583,2.03081384664223,-435.77124708
11,2022-08-16 15:02:28.586,2.1853147422605868,-468.73152588000005
12,2022-08-16 15:02:28.593,2.245797393765454,-481.63452588000007
13,2022-08-16 15:02:28.595,2.2702276412360476,-486.84632588000005
14,2022-08-16 15:02:28.595,2.410326054254007,-516.73406688
15,2022-08-16 15:02:28.602,2.4729539467048363,-530.0947195
16,2022-08-16 15:02:29.733,2.7134840719841025,-581.3613699
17,2022-08-16 15:02:29.735,2.88311885681485,-617.5173699
18,2022-08-16 15:02:29.735,3.012504789041819,-645.0947195
19,2022-08-16 15:02:31.515,2.473260057474346,-530.0947195
20,2022-08-16 15:02:31.984,1.938141924967346,-416.23979769
21,2022-08-16 15:02:31.986,1.9298216893843458,-414.46953479999996
22,2022-08-16 15:02:32.005,1.9215035953563457,-412.69972756
23,2022-08-16 15:02:32.050,1.8091127350563458,-388.78677856
24,2022-08-16 15:02:32.052,1.8007967788233459,-387.01742617
25,2022-08-16 15:02:32.068,1.7924824882233459,-385.24842817
26,2022-08-16 15:02:32.088,1.784169861047346,-383.47978409
27,2022-08-16 15:02:32.108,1.7758588973893459,-381.71149395000003
28,2022-08-16 15:02:32.131,1.7675495972023458,-379.94355774
29,2022-08-16 15:02:32.155,1.762577716302346,-378.88571074000004
30,2022-08-16 15:02:32.171,1.756475062355346,-377.58727373000005
31,2022-08-16 15:02:32.197,1.751058547684346,-376.43482380000006
32,2022-08-16 15:02:32.230,1.742734597362346,-374.6637705400001
33,2022-08-16 15:02:32.252,1.298260057474346,-280.0947195000001
34,2022-08-16 15:02:32.253,0.941761546668346,-204.2439725200001
35,2022-08-16 15:02:57.151,0.4031290366398914,-89.24397252000011
36,2022-08-16 15:03:10.843,0.3622642196261058,-80.4983103800001
37,2022-08-16 15:03:11.130,-0.1342178060072372,25.756027019999905
38,2022-08-16 15:03:11.211,-0.1342178081566246,25.756027479999904
39,2022-08-16 15:04:59.155,0.3977414870965286,-89.2439725200001
40,2022-08-16 15:04:59.846,0.9297007823496819,-204.2439725200001
41,2022-08-16 15:05:09.705,1.461660077602835,-319.2439725200001
42,2022-08-16 15:05:11.787,1.9936193728559881,-434.2439725200001
43,2022-08-16 15:06:12.147,2.5268643333410803,-549.2439725200002
44,2022-08-16 15:06:17.836,2.775157808732809,-602.7297185800002
45,2022-08-16 15:06:17.913,3.060721515365191,-664.2439725200002
46,2022-08-16 15:06:38.618,3.5933542543112647,-779.2439725200002
47,2022-08-16 15:06:55.999,4.125925771103436,-894.2439725200002
48,2022-08-16 15:06:57.169,4.6586197322034115,-1009.2439725200002
49,2022-08-16 15:06:57.473,5.19143613761119,-1124.2439725200002
50,2022-08-16 15:07:05.388,5.274034973590971,-1142.05729818
51,2022-08-16 15:07:05.389,5.724681098096283,-1239.2439725200002
52,2022-08-16 15:07:38.905,6.257926058581375,-1354.2439725200002
53,2022-08-16 15:08:03.952,6.791171019066467,-1469.2439725200002
54,2022-08-16 15:08:29.171,7.325028201090578,-1584.2439725200002
55,2022-08-16 15:08:35.078,7.859558826807609,-1699.2439725200002
56,2022-08-16 15:08:36.129,8.246324922219461,-1782.43455622
57,2022-08-16 15:08:36.130,8.394211896832443,-1814.2439725200002
58,2022-08-16 15:09:20.328,8.396413226199774,-1814.7170291600003
59,2022-08-16 15:11:50.918,8.424110501833017,-1820.6827098200004
60,2022-08-16 15:11:50.938,8.930331630377786,-1929.7170291600003
61,2022-08-16 15:11:59.625,9.055186019611758,-1956.5784550000003
62,2022-08-16 15:11:59.636,9.464862256094817,-2044.7170291600003
63,2022-08-16 15:12:48.019,9.474274654860748,-2046.7424956400002
64,2022-08-16 15:12:48.944,9.999270437504043,-2159.71702916
65,2022-08-16 15:12:53.442,10.078617468714947,-2176.77228264
66,2022-08-16 15:12:53.456,10.534290836172126,-2274.7170282399998
67,2022-08-16 15:14:44.488,10.657801156853768,-2301.2923322399997
68,2022-08-16 15:14:45.136,10.706778879022629,-2311.8307054599995
69,2022-08-16 15:14:45.144,11.068760239735255,-2389.7170282399993
70,2022-08-16 15:15:14.609,11.603841864837403,-2504.7170282399993
71,2022-08-16 15:15:32.222,12.138984712093452,-2619.7170282399993
72,2022-08-16 15:17:09.768,12.186910478659447,-2630.0160786399993
73,2022-08-16 15:17:09.950,12.6741275593495,-2734.7170282399993
74,2022-08-16 15:20:07.572,12.81350996684948,-2764.6047692399993
75,2022-08-16 15:20:07.572,13.74673969570987,-2964.7170282399993
76,2022-08-16 15:20:14.237,14.21916958657249,-3065.9045617799993
77,2022-08-16 15:20:14.238,14.820576275148275,-3194.7170282399993
78,2022-08-16 15:20:14.729,14.863517791490533,-3203.9102763599994
79,2022-08-16 15:20:52.887,14.948400140037423,-3222.1095033799993
80,2022-08-16 15:21:28.725,15.019598714164408,-3237.374856379999
